folders,436
videotapes,69
Betacam-SP videotapes,40
U-matic videotape,30
Betacam-SP videotape,27
film reel,19
reel of magnetic tape,17
audiocassettes,12
Mini-DV videotapes,8
film reels,5
Mini-DV videotape,4
linear feet,4
volumes,4
digital videotape,2
digital audio tape,2
DV Cam videotapes,2
Sony anti-static videotape,1
Hi-8 8mm audiocassette,1
reel of 3M magnetic tape,1
Fiji anti-static videotape,1
Panasonic Mini DV cam videotapes,1
Hi-8 Metal E videotape,1
archived website,1
reel of NTSC tape,1
Mini DV Cam videotape,1
reels of magnetic tape,1
oversize film reels,1
DV Cam videotape,1
Sony Mini-DV videotapes,1
GB,1
web sites,1
DVCPRO videotapes,1
Betacam-SP,1
